,CAS
0,12185-10-3
1,97-93-8
2,1333-86-4
3,7440-02-0
4,617-85-6
5,140-93-2
6,109-72-8
7,100-99-2
8,7775-14-6
9,7705-07-9
10,122-56-5
11,19624-22-7
12,1191-15-7
13,12427-38-2
14,75-24-1
15,8001-31-8
16,1313-82-2
17,7440-67-7
18,141-52-6
19,1758-73-2
20,7440-44-0
21,7440-70-2
22,998-40-3
