,CAS
0,7783-54-2
1,10035-10-6
2,7784-42-1
3,75-44-5
4,1336-21-6
5,7446-09-5
6,7782-41-4
7,7803-51-2
8,10544-73-7
9,7637-07-2
10,7446-9-5
11,506-77-4
12,7783-61-1
13,7803-52-3
14,7647-01-0
15,7783-60-0
16,4109-96-0
17,7664-41-7
18,2696-92-6
19,79-38-9
20,13863-41-7
21,74-83-9
22,10034-85-2
23,7783-41-7
24,10102-43-9
25,74-87-3
26,7782-50-5
27,10544-72-6
28,7783-82-6
29,684-16-2
30,7647-19-0
