,CAS
0,16721-80-5
1,110-97-4
2,107-15-3
3,1336-21-6
4,1310-73-2
5,1310-58-3
6,112-24-3
7,102-82-9
8,21109-95-5
9,111-92-2
10,1313-59-3
11,12136-45-7
12,29320-38-5
13,104-75-6
14,124-09-4
15,1305-78-8
16,111-42-2
17,108-91-8
18,10217-52-4
19,1310-66-3
20,109-76-2
21,78-90-0
22,1313-82-2
23,1312-73-8
24,75-59-2
25,141-52-6
26,101-83-7
27,98-94-2
28,7805-57-8
29,8006-28-8
