,CAS
0,26322-14-5
1,78-18-2
2,15520-11-3
3,937-14-4
4,133-14-2
5,3006-82-4
6,2167-23-9
7,3851-87-4
8,80-43-3
9,1338-23-4
10,79-21-0
11,53220-22-7
12,26762-93-6
13,9054-89-1
14,995-33-5
15,25155-25-3
16,94-36-0
17,109-13-7
18,94-17-7
19,75-91-2
20,927-07-1
21,686-31-7
22,13122-18-4
23,12262-58-7
24,614-45-9
25,78-63-7
26,107-32-4
27,123-23-9
28,105-74-8
29,105-64-6
30,6731-36-8
31,3006-86-8
32,10508-09-5
33,80-15-9
